Date	Official PMI	Caixin PMI	highlight	annotate
12/31/16	51.4	51.9		
11/30/16	51.7	50.9		
10/31/16	51.2	51.2		
9/30/16	50.4	50.1		
8/31/16	50.4	50		
7/31/16	49.9	50.6		
6/30/16	50	48.6		
5/31/16	50.1	49.2		
4/30/16	50.1	49.4		
3/31/16	50.2	49.7		
2/29/16	49	48		
1/31/16	49.4	48.4		
12/31/15	49.7	48.2		
11/30/15	49.6	48.6		
10/31/15	49.8	48.3		
9/30/15	49.8	47.2		
8/31/15	49.7	47.3		
7/31/15	50	47.8		
6/30/15	50.2	49.4		
5/31/15	50.2	49.2		
4/30/15	50.1	48.9		
3/31/15	50.1	49.6		
2/28/15	49.9	50.7		
1/31/15	49.8	49.7		
12/31/14	50.1	49.6		
11/30/14	50.3	50		
10/31/14	50.8	50.4		
9/30/14	51.1	50.2		
8/31/14	51.1	50.2		
7/31/14	51.7	51.7		This is a peak
6/30/14	51	50.7		
5/31/14	50.8	49.4		
4/30/14	50.4	48.1		
3/31/14	50.3	48		
2/28/14	50.2	48.5		
1/31/14	50.5	49.5		
